sku,description,principal,product_group,storage_condition,lines,units,sales_value_nzd,abc_velocity,abc_value,lines_per_day,pallets_per_week,pick_location,ground_faces,pick_bins,months_cover,counts_per_year
PH10138,Loratadine 10mg Tablets 10x10,Halvora Healthcare,Tablets,Below 25C,230.0,24182.0,384493.8,A,A,2.7058823529411766,0.43903413217138704,Ground pick face,1,0,3.350756761227359,12
PH10139,Prednisolone 25mg Tablets 30s,Marwick Pharmaceuticals,Tablets,Below 25C,152.0,9691.0,230355.07,A,A,1.7882352941176471,0.197937091503268,Ground pick face,1,0,3.9236404911773812,12
PH10140,Sertraline 50mg Tablets 100s,Dunmore Therapeutics,Tablets,Below 25C,6.0,72.0,661.68,C,C,0.07058823529411765,0.0058823529411764705,Direct from reserve,0,0,25.61111111111111,2
PH10141,Clopidogrel 75mg Tablets 10x10,Halvora Healthcare,Tablets,Below 25C,21.0,1314.0,7778.88,C,C,0.24705882352941178,0.06441176470588235,Direct from reserve,0,0,1.7503805175038052,2
PH10142,Rosuvastatin 10mg Tablets 30s,Halvora Healthcare,Tablets,Below 25C,4.0,131.0,3066.71,C,C,0.047058823529411764,0.0026756535947712414,Direct from reserve,0,0,3.9389312977099236,2
PH10143,Ciprofloxacin 250mg Tablets 100s,Marwick Pharmaceuticals,Tablets,Below 25C,2.0,7.0,147.07000000000002,C,C,0.023529411764705882,0.00028594771241830067,Direct from reserve,0,0,11.428571428571429,2
PH10144,Losartan 100mg Tablets 2x14,Marwick Pharmaceuticals,Tablets,Below 25C,6.0,224.0,1774.08,C,C,0.07058823529411765,0.004575163398692811,Direct from reserve,0,0,7.839285714285714,2
PH10145,Metformin 850mg Tablets 3x10,Halvora Healthcare,Tablets,Below 25C,14.0,2728.0,33936.32,C,B,0.16470588235294117,0.029716775599128543,Direct from reserve,0,0,4.926686217008798,4
PH10146,Cetirizine 10mg Tablets 10x10,Corvane Pharma,Tablets,Below 25C,4.0,93.0,731.91,C,C,0.047058823529411764,0.0015196078431372548,Direct from reserve,0,0,36.0,2
PH10148,Ibuprofen 200mg Tablets 10x10,Arcadine Pharma,Tablets,Below 25C,331.0,36991.0,342166.75,A,A,3.8941176470588235,0.37776756535947714,Ground pick face,1,0,2.1337081992917195,12
PH10149,Simvastatin 20mg Tablets 2x14,Marwick Pharmaceuticals,Tablets,Below 25C,13.0,792.0,13305.6,C,C,0.15294117647058825,0.032352941176470584,Direct from reserve,0,0,4.96969696969697,2
PH10150,Bisoprolol 2.5mg Tablets 3x10,Halvora Healthcare,Tablets,Below 25C,432.0,28177.0,353903.12,A,A,5.08235294117647,0.3946358543417367,Ground pick face,1,0,6.243106079426482,12
PH10151,Pantoprazole 40mg Tablets 3x10,Arcadine Pharma,Tablets,Below 25C,0.0,0.0,0.0,D,D,0.0,0.0,No pick face,0,0,inf,1
PH10152,Clopidogrel 75mg Tablets 3x10,Venrick Laboratories,Tablets,Below 25C,60.0,5663.0,116714.43,B,A,0.7058823529411765,0.07711056644880175,Shelving pick bin,0,1,3.802931308493731,12
PH10153,Esomeprazole 40mg Tablets 100s,Corvane Pharma,Tablets,Below 25C,85.0,10412.0,89230.84,A,B,1.0,0.17013071895424836,Ground pick face,1,0,9.973876296580869,4
PH10154,Amlodipine 10mg Tablets 10x10,Corvane Pharma,Tablets,Below 25C,2.0,278.0,4673.179999999999,C,C,0.023529411764705882,0.0037854030501089327,Direct from reserve,0,0,6.633093525179856,2
PH10155,Telmisartan 40mg Tablets 10x10,Arcadine Pharma,Tablets,Below 25C,162.0,7698.0,98688.36,A,A,1.9058823529411764,0.2515686274509804,Ground pick face,1,0,3.2803325539101067,12
PH10156,Metformin 500mg Tablets 10x10,Dunmore Therapeutics,Tablets,Below 25C,20.0,1800.0,40662.0,C,B,0.23529411764705882,0.03676470588235294,Direct from reserve,0,0,4.233333333333333,4
PH10157,Levothyroxine 100mcg Tablets 30s,Corvane Pharma,Tablets,Below 25C,50.0,7575.0,100368.75,B,A,0.5882352941176471,0.10314542483660132,Shelving pick bin,0,1,4.408712871287129,12
PH10158,Losartan 50mg Tablets 2x14,Corvane Pharma,Tablets,Below 25C,165.0,13213.0,226602.94999999998,A,A,1.9411764705882353,0.1799155773420479,Ground pick face,1,0,6.5901763414818735,12
PH10159,Glimepiride 2mg Tablets 100s,Arcadine Pharma,Tablets,Below 25C,83.0,6052.0,109420.15999999999,A,A,0.9764705882352941,0.29666666666666663,Ground pick face,1,0,4.886979510905486,12
PH10160,Ibuprofen 400mg Tablets 3x10,Arcadine Pharma,Tablets,Below 25C,22.0,922.0,3263.88,C,C,0.25882352941176473,0.007532679738562091,Direct from reserve,0,0,2.7505422993492408,2
PH10161,Escitalopram 20mg Tablets 30s,Halvora Healthcare,Tablets,Below 25C,36.0,1265.0,3301.6499999999996,B,C,0.4235294117647059,0.012918709150326795,Shelving pick bin,0,1,5.454545454545454,2
PH10162,Levothyroxine 50mcg Tablets 100s,Marwick Pharmaceuticals,Tablets,Below 25C,440.0,67804.0,1061810.64,A,A,5.176470588235294,0.4616285403050109,Ground pick face,1,0,3.6215562503687098,12
PH10163,Telmisartan 40mg Tablets 30s,Venrick Laboratories,Tablets,Below 25C,1.0,43.0,89.44,C,C,0.011764705882352941,0.003161764705882353,Direct from reserve,0,0,6.511627906976744,2
PH10164,Simvastatin 20mg Tablets 3x10,Corvane Pharma,Tablets,Below 25C,136.0,14627.0,183861.39,A,A,1.6,0.265559186637618,Ground pick face,1,0,8.738634032952758,12
PH10165,Losartan 50mg Tablets 30s,Venrick Laboratories,Tablets,Below 25C,152.0,11883.0,33628.89,A,B,1.7882352941176471,0.18203125,Ground pick face,1,0,13.338045947992931,4
PH10166,Clopidogrel 75mg Tablets 30s,Corvane Pharma,Tablets,Below 25C,580.0,43791.0,905597.88,A,A,6.823529411764706,0.8944240196078431,Ground pick face,1,0,6.351442077139138,12
PH10167,Esomeprazole 20mg Tablets 30s,Marwick Pharmaceuticals,Tablets,Below 25C,235.0,21624.0,509461.43999999994,A,A,2.764705882352941,0.2523809523809523,Ground pick face,1,0,4.589530151683315,12
PH10168,Carvedilol 6.25mg Tablets 100s,Corvane Pharma,Tablets,Below 25C,5.0,343.0,3251.6400000000003,C,C,0.058823529411764705,0.03362745098039216,Direct from reserve,0,0,7.26530612244898,2
PH10169,Allopurinol 300mg Tablets 100s,Venrick Laboratories,Tablets,Below 25C,98.0,4649.0,43003.25,A,B,1.1529411764705881,0.11394607843137255,Ground pick face,1,0,5.99612819961282,4
PH10170,Ciprofloxacin 500mg Tablets 10x10,Halvora Healthcare,Tablets,Below 25C,50.0,2610.0,39045.600000000006,B,B,0.5882352941176471,0.21323529411764705,Shelving pick bin,0,1,2.4122605363984673,4
PH10171,Sertraline 100mg Tablets 10x10,Marwick Pharmaceuticals,Tablets,Below 25C,117.0,8309.0,90485.01000000001,A,B,1.3764705882352941,0.06034132171387074,Ground pick face,1,0,3.6009146708388493,4
PH10172,Pantoprazole 20mg Tablets 100s,Marwick Pharmaceuticals,Tablets,Below 25C,532.0,66176.0,478452.48000000004,A,A,6.258823529411765,0.5406535947712418,Ground pick face,1,0,5.363938588007737,12
PH10173,Carvedilol 25mg Tablets 10x10,Venrick Laboratories,Tablets,Below 25C,60.0,4967.0,32980.88,B,B,0.7058823529411765,0.033816721132897604,Shelving pick bin,0,1,4.8214213811153614,4
PH10174,Glimepiride 4mg Tablets 2x14,Corvane Pharma,Tablets,Below 25C,32.0,1978.0,12085.58,B,C,0.3764705882352941,0.013466775599128542,Shelving pick bin,0,1,13.015166835187058,2
PH10175,Ciprofloxacin 500mg Tablets 100s,Venrick Laboratories,Tablets,Below 25C,38.0,2127.0,48453.060000000005,B,B,0.4470588235294118,0.10426470588235295,Shelving pick bin,0,1,3.05594734367654,4
PH10176,Ibuprofen 400mg Tablets 100s,Halvora Healthcare,Tablets,Below 25C,176.0,10046.0,87902.5,A,B,2.070588235294118,0.32830065359477123,Ground pick face,1,0,2.7927533346605613,4
PH10177,Allopurinol 100mg Tablets 2x14,Arcadine Pharma,Tablets,Below 25C,6.0,302.0,5034.34,C,C,0.07058823529411765,0.024673202614379084,Direct from reserve,0,0,26.211920529801326,2
PH10178,Losartan 100mg Tablets 3x10,Marwick Pharmaceuticals,Tablets,Below 25C,90.0,8113.0,178080.35,A,A,1.0588235294117647,0.220942265795207,Ground pick face,1,0,2.764945149759645,12
PH10179,Warfarin 1mg Tablets 30s,Halvora Healthcare,Tablets,Below 25C,55.0,2632.0,11212.32,B,C,0.6470588235294118,0.10751633986928105,Shelving pick bin,0,1,2.5045592705167175,2
PH10180,Paracetamol 500mg Tablets 10x10,Venrick Laboratories,Tablets,Below 25C,2.0,22.0,416.68,C,C,0.023529411764705882,0.00029956427015250545,Direct from reserve,0,0,14.181818181818182,2
PH10181,Azithromycin 250mg Tablets 100s,Dunmore Therapeutics,Tablets,Below 25C,70.0,5539.0,45198.24,B,B,0.8235294117647058,0.08484987745098038,Shelving pick bin,0,1,14.19389781549016,4
PH10182,Allopurinol 100mg Tablets 100s,Halvora Healthcare,Tablets,Below 25C,9.0,449.0,10834.369999999999,C,C,0.10588235294117647,0.036683006535947714,Direct from reserve,0,0,19.48329621380846,2
PH10183,Metoprolol 100mg Tablets 10x10,Dunmore Therapeutics,Tablets,Below 25C,672.0,31566.0,244005.18000000002,A,A,7.905882352941177,1.2894607843137254,Ground pick face,1,0,3.5957675980485333,12
PH10184,Levothyroxine 50mcg Tablets 10x10,Halvora Healthcare,Tablets,Below 25C,15.0,824.0,17493.52,C,C,0.17647058823529413,0.004986686032437666,Direct from reserve,0,0,3.4757281553398056,2
PH10185,Atorvastatin 20mg Tablets 30s,Corvane Pharma,Tablets,Below 25C,135.0,9365.0,85034.2,A,B,1.588235294117647,0.21860410830999066,Ground pick face,1,0,7.89749065670048,4
PH10186,Levothyroxine 50mcg Tablets 30s,Corvane Pharma,Tablets,Below 25C,26.0,920.0,5768.4,B,C,0.3058823529411765,0.018790849673202614,Shelving pick bin,0,1,2.508695652173913,2
PH10187,Prednisolone 25mg Tablets 10x10,Halvora Healthcare,Tablets,Below 25C,7.0,939.0,20967.87,C,C,0.08235294117647059,0.009589460784313726,Direct from reserve,0,0,5.682641107561236,2
PH10188,Atorvastatin 10mg Tablets 2x14,Marwick Pharmaceuticals,Tablets,Below 25C,72.0,7014.0,83045.76,B,B,0.8470588235294118,0.14325980392156865,Shelving pick bin,0,1,3.0886797832905617,4
PH10189,Atorvastatin 40mg Tablets 30s,Corvane Pharma,Tablets,Below 25C,5.0,71.0,572.97,C,C,0.058823529411764705,0.0011601307189542482,Direct from reserve,0,0,16.0,2
PH10190,Atorvastatin 20mg Tablets 3x10,Venrick Laboratories,Tablets,Below 25C,29.0,2761.0,20624.67,B,C,0.3411764705882353,0.02255718954248366,Shelving pick bin,0,1,5.292285403839188,2
PH10191,Allopurinol 300mg Tablets 3x10,Corvane Pharma,Tablets,Below 25C,274.0,30433.0,342371.25,A,A,3.223529411764706,0.6215890522875817,Ground pick face,1,0,6.751881181612066,12
PH10192,Cetirizine 10mg Tablets 30s,Halvora Healthcare,Tablets,Below 25C,20.0,247.0,4581.85,C,C,0.23529411764705882,0.0032287581699346406,Direct from reserve,0,0,14.607287449392713,2
PH10193,Montelukast 10mg Tablets 10x10,Corvane Pharma,Tablets,Below 25C,913.0,68347.0,1086717.3,A,A,10.741176470588234,0.9306508714596949,Ground pick face,1,0,4.775454665164528,12
PH10194,Ciprofloxacin 250mg Tablets 2x14,Corvane Pharma,Tablets,Below 25C,158.0,11868.0,186446.28,A,A,1.8588235294117648,0.323202614379085,Ground pick face,1,0,3.3033367037411527,12
PH10195,Pantoprazole 20mg Tablets 30s,Corvane Pharma,Tablets,Below 25C,3.0,743.0,14102.14,C,C,0.03529411764705882,0.04552696078431373,Direct from reserve,0,0,4.403768506056528,2
PH10196,Warfarin 5mg Tablets 100s,Marwick Pharmaceuticals,Tablets,Below 25C,975.0,46735.0,790756.2000000001,A,A,11.470588235294118,1.272739651416122,Ground pick face,1,0,6.032823365785814,12
PH10197,Warfarin 1mg Tablets 100s,Venrick Laboratories,Tablets,Below 25C,429.0,22022.0,246426.18,A,A,5.047058823529412,0.7996368917937546,Ground pick face,1,0,6.999364272091545,12
PH10198,Bisoprolol 2.5mg Tablets 30s,Dunmore Therapeutics,Tablets,Below 25C,1.0,114.0,394.44,C,C,0.011764705882352941,0.0011642156862745098,Direct from reserve,0,0,16.87719298245614,2
PH10199,Levothyroxine 100mcg Tablets 10x10,Arcadine Pharma,Tablets,Below 25C,27.0,2041.0,47330.79,B,B,0.3176470588235294,0.055582788671023974,Shelving pick bin,0,1,5.203331700146987,4
PH10200,Escitalopram 20mg Tablets 2x14,Halvora Healthcare,Tablets,Below 25C,543.0,40340.0,479239.2,A,A,6.3882352941176475,0.9887254901960784,Ground pick face,1,0,4.958552305404066,12
PH10201,Montelukast 10mg Tablets 30s,Corvane Pharma,Tablets,Below 25C,38.0,2293.0,5824.22,B,C,0.4470588235294118,0.046834150326797386,Shelving pick bin,0,1,4.038377671173135,2
PH10202,Telmisartan 40mg Tablets 100s,Halvora Healthcare,Tablets,Below 25C,40.0,3154.0,47909.26,B,B,0.47058823529411764,0.028631082062454613,Shelving pick bin,0,1,2.163601775523145,4
PH10203,Atorvastatin 40mg Tablets 2x14,Marwick Pharmaceuticals,Tablets,Below 25C,11.0,386.0,3273.28,C,C,0.12941176470588237,0.01261437908496732,Direct from reserve,0,0,7.803108808290156,2
PH10204,Warfarin 5mg Tablets 2x14,Venrick Laboratories,Tablets,Below 25C,33.0,4729.0,34143.38,B,B,0.38823529411764707,0.03863562091503268,Shelving pick bin,0,1,3.266652569253542,4
PH10205,Glimepiride 2mg Tablets 10x10,Arcadine Pharma,Tablets,Below 25C,74.0,9465.0,214287.6,B,A,0.8705882352941177,0.1031045751633987,Shelving pick bin,0,1,14.215319598520866,12
PH10206,Glimepiride 4mg Tablets 10x10,Venrick Laboratories,Tablets,Below 25C,659.0,41353.0,437928.27,A,A,7.752941176470588,1.520330882352941,Ground pick face,1,0,2.342175900176529,12
PH10207,Sertraline 100mg Tablets 2x14,Corvane Pharma,Tablets,Below 25C,7.0,219.0,3817.17,C,C,0.08235294117647059,0.004473039215686274,Direct from reserve,0,0,2.9406392694063928,2
PH10208,Allopurinol 100mg Tablets 30s,Venrick Laboratories,Tablets,Below 25C,45.0,3591.0,41583.78,B,B,0.5294117647058824,0.14669117647058824,Shelving pick bin,0,1,10.197716513505988,4
PH10209,Losartan 50mg Tablets 3x10,Halvora Healthcare,Tablets,Below 25C,445.0,55173.0,840836.52,A,A,5.235294117647059,0.751266339869281,Ground pick face,1,0,4.159135809182027,12
PH10210,Losartan 100mg Tablets 10x10,Halvora Healthcare,Tablets,Below 25C,81.0,3637.0,18366.85,A,C,0.9529411764705882,0.0660312273057371,Ground pick face,1,0,2.674731921913665,2
PH10211,Esomeprazole 20mg Tablets 10x10,Marwick Pharmaceuticals,Tablets,Below 25C,5.0,135.0,1290.6000000000001,C,C,0.058823529411764705,0.003676470588235294,Direct from reserve,0,0,6.42962962962963,2
PH10212,Esomeprazole 20mg Tablets 2x14,Venrick Laboratories,Tablets,Below 25C,129.0,6515.0,108083.85,A,A,1.5176470588235293,0.399203431372549,Ground pick face,1,0,17.65955487336915,12
PH10213,Rosuvastatin 5mg Tablets 10x10,Halvora Healthcare,Tablets,Below 25C,67.0,3153.0,42943.86,B,B,0.788235294117647,0.1030392156862745,Shelving pick bin,0,1,4.483349191246432,4
PH10214,Furosemide 40mg Tablets 10x10,Corvane Pharma,Tablets,Below 25C,5.0,215.0,5170.75,C,C,0.058823529411764705,0.0065870098039215695,Direct from reserve,0,0,10.902325581395349,2
PH10215,Bisoprolol 5mg Tablets 10x10,Halvora Healthcare,Tablets,Below 25C,299.0,23867.0,462542.45999999996,A,A,3.5176470588235293,1.462438725490196,Ground pick face,1,0,2.4478987723635144,12
PH10216,Metoprolol 50mg Tablets 30s,Corvane Pharma,Tablets,Below 25C,5.0,1000.0,19170.0,C,C,0.058823529411764705,0.013616557734204794,Direct from reserve,0,0,4.836,2
PH10217,Paracetamol 500mg Tablets 100s,Halvora Healthcare,Tablets,Below 25C,231.0,21872.0,351483.04,A,A,2.7176470588235295,0.13401960784313727,Ground pick face,1,0,6.937637161667886,12
PH10218,Ibuprofen 400mg Tablets 2x14,Venrick Laboratories,Tablets,Below 25C,61.0,4177.0,83748.85,B,B,0.7176470588235294,0.22750544662309366,Shelving pick bin,0,1,6.45918123054824,4
PH10219,Warfarin 1mg Tablets 10x10,Venrick Laboratories,Tablets,Below 25C,90.0,6982.0,119112.92,A,A,1.0588235294117647,0.09507080610021788,Ground pick face,1,0,6.056717272987683,12
PH10220,Metformin 500mg Tablets 3x10,Venrick Laboratories,Tablets,Below 25C,7.0,1000.0,3610.0,C,C,0.08235294117647059,0.016339869281045753,Direct from reserve,0,0,1.668,2
PH10221,Rosuvastatin 10mg Tablets 100s,Arcadine Pharma,Tablets,Below 25C,14.0,753.0,5783.04,C,C,0.16470588235294117,0.009227941176470588,Direct from reserve,0,0,5.6414342629482075,2
PH10222,Escitalopram 10mg Tablets 100s,Arcadine Pharma,Tablets,Below 25C,33.0,2428.0,45355.04,B,B,0.38823529411764707,0.02204066811909949,Shelving pick bin,0,1,4.115321252059308,4
PH10223,Metformin 850mg Tablets 100s,Marwick Pharmaceuticals,Tablets,Below 25C,13.0,307.0,3248.06,C,C,0.15294117647058825,0.025081699346405226,Direct from reserve,0,0,20.977198697068403,2
PH10224,Telmisartan 80mg Tablets 2x14,Halvora Healthcare,Tablets,Below 25C,5.0,331.0,5504.53,C,C,0.058823529411764705,0.010816993464052287,Direct from reserve,0,0,8.290030211480362,2
PH10225,Metoprolol 100mg Tablets 30s,Venrick Laboratories,Tablets,Below 25C,18.0,695.0,3746.0499999999997,C,C,0.21176470588235294,0.006083683473389356,Direct from reserve,0,0,7.516546762589928,2
PH10226,Esomeprazole 40mg Tablets 2x14,Corvane Pharma,Tablets,Below 25C,11.0,489.0,5134.5,C,C,0.12941176470588237,0.003995098039215686,Direct from reserve,0,0,10.977505112474438,2
PH10227,Metformin 850mg Tablets 30s,Corvane Pharma,Tablets,Below 25C,42.0,6559.0,123046.84000000001,B,A,0.49411764705882355,0.05954066811909949,Shelving pick bin,0,1,13.491690806525385,12
PH10228,Metformin 500mg Tablets 30s,Marwick Pharmaceuticals,Tablets,Below 25C,6.0,280.0,4684.400000000001,C,C,0.07058823529411765,0.001525054466230937,Direct from reserve,0,0,3.4571428571428573,2
PH10229,Loratadine 10mg Tablets 100s,Venrick Laboratories,Tablets,Below 25C,0.0,0.0,0.0,D,D,0.0,0.0,No pick face,0,0,inf,1
PH10230,Losartan 50mg Tablets 100s,Dunmore Therapeutics,Tablets,Below 25C,514.0,26889.0,668729.43,A,A,6.047058823529412,0.9414915966386556,Ground pick face,1,0,10.005132210197479,12
PH10231,Furosemide 40mg Tablets 30s,Corvane Pharma,Tablets,Below 25C,34.0,2006.0,7382.08,B,C,0.4,0.032777777777777774,Shelving pick bin,0,1,4.372881355932203,2
PH10232,Azithromycin 500mg Tablets 3x10,Venrick Laboratories,Tablets,Below 25C,91.0,15084.0,319479.12,A,A,1.0705882352941176,0.13203781512605042,Ground pick face,1,0,3.758154335719968,12
PH10233,Azithromycin 250mg Tablets 30s,Dunmore Therapeutics,Tablets,Below 25C,0.0,0.0,0.0,D,D,0.0,0.0,No pick face,0,0,inf,1
PH10234,Atorvastatin 20mg Tablets 100s,Corvane Pharma,Tablets,Below 25C,4.0,823.0,9727.86,C,C,0.047058823529411764,0.022412854030501087,Direct from reserve,0,0,7.922235722964763,2
PH10235,Amlodipine 10mg Tablets 2x14,Venrick Laboratories,Tablets,Below 25C,38.0,1639.0,12948.1,B,C,0.4470588235294118,0.05951343500363108,Shelving pick bin,0,1,7.829164124466138,2
PH10236,Losartan 100mg Tablets 30s,Corvane Pharma,Tablets,Below 25C,1074.0,129778.0,1151130.8599999999,A,A,12.635294117647058,1.7671296296296295,Ground pick face,1,0,5.812171554500763,12
PH10237,Ciprofloxacin 500mg Tablets 30s,Venrick Laboratories,Tablets,Below 25C,63.0,7370.0,74584.4,B,B,0.7411764705882353,0.07526552287581699,Shelving pick bin,0,1,12.733785617367706,4
PH10238,Bisoprolol 2.5mg Tablets 100s,Venrick Laboratories,Tablets,Below 25C,16.0,2017.0,28943.95,C,B,0.18823529411764706,0.0411968954248366,Direct from reserve,0,0,14.687159147248389,4
PH10239,Esomeprazole 20mg Tablets 100s,Arcadine Pharma,Tablets,Below 25C,40.0,1995.0,31082.1,B,B,0.47058823529411764,0.03911764705882353,Shelving pick bin,0,1,6.540350877192982,4
PH10240,Esomeprazole 40mg Tablets 10x10,Corvane Pharma,Tablets,Below 25C,7.0,680.0,16904.8,C,C,0.08235294117647059,0.007936507936507938,Direct from reserve,0,0,11.211764705882352,2
PH10241,Escitalopram 10mg Tablets 10x10,Marwick Pharmaceuticals,Tablets,Below 25C,6.0,628.0,14871.039999999999,C,C,0.07058823529411765,0.04104575163398693,Direct from reserve,0,0,22.070063694267517,2
PH10242,Escitalopram 10mg Tablets 2x14,Corvane Pharma,Tablets,Below 25C,116.0,5091.0,112154.73000000001,A,A,1.3647058823529412,0.16637254901960785,Ground pick face,1,0,2.7138086819878215,12
PH10243,Azithromycin 250mg Tablets 2x14,Arcadine Pharma,Tablets,Below 25C,26.0,1135.0,6878.099999999999,B,C,0.3058823529411765,0.037091503267973856,Shelving pick bin,0,1,7.517180616740088,2
PH10244,Furosemide 40mg Tablets 2x14,Marwick Pharmaceuticals,Tablets,Below 25C,48.0,3545.0,54167.6,B,B,0.5647058823529412,0.04827069716775599,Shelving pick bin,0,1,4.477291960507757,4
PH10245,Warfarin 5mg Tablets 3x10,Marwick Pharmaceuticals,Tablets,Below 25C,232.0,22880.0,229028.8,A,A,2.7294117647058824,0.6230936819172114,Ground pick face,1,0,5.7816433566433565,12
PH10246,Metoprolol 100mg Tablets 3x10,Halvora Healthcare,Tablets,Below 25C,58.0,3324.0,25096.2,B,C,0.6823529411764706,0.048882352941176474,Shelving pick bin,0,1,5.879663056558363,2
PH10247,Prednisolone 5mg Tablets 30s,Arcadine Pharma,Tablets,Below 25C,1.0,6.0,93.24,C,C,0.011764705882352941,0.00019607843137254904,Direct from reserve,0,0,5.333333333333333,2
PH10248,Prednisolone 5mg Tablets 10x10,Halvora Healthcare,Tablets,Below 25C,439.0,58149.0,1453725.0,A,A,5.1647058823529415,0.7917892156862746,Ground pick face,1,0,4.123063165316687,12
PH10249,Sertraline 100mg Tablets 3x10,Venrick Laboratories,Tablets,Below 25C,86.0,4980.0,11653.199999999999,A,C,1.011764705882353,0.12205882352941176,Ground pick face,1,0,8.850602409638554,2
PH10250,Levothyroxine 100mcg Tablets 100s,Dunmore Therapeutics,Tablets,Below 25C,199.0,17700.0,390639.0,A,A,2.3411764705882354,0.1446078431372549,Ground pick face,1,0,2.512994350282486,12
PH10251,Rosuvastatin 5mg Tablets 100s,Marwick Pharmaceuticals,Tablets,Below 25C,14.0,1146.0,8789.82,C,C,0.16470588235294117,0.012483660130718952,Direct from reserve,0,0,7.214659685863874,2
PH10252,Amlodipine 5mg Tablets 3x10,Arcadine Pharma,Tablets,Below 25C,56.0,3277.0,33097.7,B,B,0.6588235294117647,0.06693218954248366,Shelving pick bin,0,1,5.501373207201709,4
PH10253,Metoprolol 50mg Tablets 10x10,Halvora Healthcare,Tablets,Below 25C,399.0,47839.0,1184493.6400000001,A,A,4.694117647058824,0.2931311274509804,Ground pick face,1,0,5.3453458475302575,12
PH10254,Gliclazide 80mg Tablets 100s,Marwick Pharmaceuticals,Tablets,Below 25C,20.0,684.0,11368.08,C,C,0.23529411764705882,0.013970588235294118,Direct from reserve,0,0,17.994152046783626,2
PH10255,Diclofenac 50mg Tablets 100s,Corvane Pharma,Tablets,Below 25C,119.0,10016.0,193709.44,A,A,1.4,0.16366013071895427,Ground pick face,1,0,4.926517571884984,12
PH10256,Telmisartan 80mg Tablets 10x10,Halvora Healthcare,Tablets,Below 25C,286.0,23966.0,239660.0,A,A,3.364705882352941,0.2797152194211018,Ground pick face,1,0,6.352165567887841,12
PH10257,Prednisolone 5mg Tablets 100s,Corvane Pharma,Tablets,Below 25C,663.0,82934.0,1373387.0399999998,A,A,7.8,0.635217524509804,Ground pick face,1,0,1.6119323799647913,12
PH10258,Carvedilol 6.25mg Tablets 2x14,Marwick Pharmaceuticals,Tablets,Below 25C,9.0,146.0,1652.72,C,C,0.10588235294117647,0.005964052287581699,Direct from reserve,0,0,18.08219178082192,2
PH10259,Glimepiride 2mg Tablets 2x14,Arcadine Pharma,Tablets,Below 25C,8.0,812.0,13056.96,C,C,0.09411764705882353,0.011056644880174292,Direct from reserve,0,0,5.719211822660099,2
PH10260,Clopidogrel 75mg Tablets 100s,Halvora Healthcare,Tablets,Below 25C,15.0,776.0,15892.48,C,C,0.17647058823529413,0.019019607843137252,Direct from reserve,0,0,7.88659793814433,2
PH10261,Fish Oil Omega-3 1000mg Capsules 10x10,Venrick Laboratories,Capsules,Below 25C,28.0,2655.0,56418.75,B,B,0.32941176470588235,0.04338235294117647,Shelving pick bin,0,1,3.328060263653484,4
PH10262,Itraconazole 100mg Capsules 2x14,Marwick Pharmaceuticals,Capsules,Below 25C,23.0,597.0,5713.29,C,C,0.27058823529411763,0.02438725490196078,Direct from reserve,0,0,16.482412060301506,2
PH10263,Fluoxetine 20mg Capsules 60s,Venrick Laboratories,Capsules,Below 25C,34.0,1425.0,39415.5,B,B,0.4,0.031045751633986925,Shelving pick bin,0,1,4.429473684210526,4
PH10264,Vitamin D3 1000IU Capsules 30s,Corvane Pharma,Capsules,Below 25C,59.0,4297.0,45548.2,B,B,0.6941176470588235,0.12036414565826328,Shelving pick bin,0,1,5.158017221317198,4
PH10265,Cefalexin 500mg Capsules 30s,Venrick Laboratories,Capsules,Below 25C,8.0,773.0,12769.96,C,C,0.09411764705882353,0.025261437908496734,Direct from reserve,0,0,9.148771021992237,2
PH10266,Itraconazole 100mg Capsules 60s,Venrick Laboratories,Capsules,Below 25C,46.0,3972.0,18032.88,B,C,0.5411764705882353,0.04867647058823529,Shelving pick bin,0,1,3.9506545820745216,2
PH10267,Pregabalin 150mg Capsules 2x14,Solandra Health,Capsules,Below 25C,5.0,27.0,557.82,C,C,0.058823529411764705,0.0008823529411764706,Direct from reserve,0,0,24.74074074074074,2
PH10268,Fluoxetine 20mg Capsules 30s,Venrick Laboratories,Capsules,Below 25C,18.0,1011.0,15963.689999999999,C,C,0.21176470588235294,0.12389705882352942,Direct from reserve,0,0,7.596439169139466,2
PH10269,Cefalexin 250mg Capsules 3x10,Corvane Pharma,Capsules,Below 25C,4.0,907.0,18774.899999999998,C,C,0.047058823529411764,0.005928104575163399,Direct from reserve,0,0,7.109151047409041,2
PH10270,Doxycycline 100mg Capsules 10x10,Corvane Pharma,Capsules,Below 25C,369.0,43101.0,1033992.99,A,A,4.341176470588235,0.2347549019607843,Ground pick face,1,0,6.643650959374493,12
PH10271,Vitamin D3 1000IU Capsules 10x10,Venrick Laboratories,Capsules,Below 25C,0.0,0.0,0.0,D,D,0.0,0.0,No pick face,0,0,inf,1
PH10272,Amoxicillin 500mg Capsules 10x10,Solandra Health,Capsules,Below 25C,15.0,1345.0,27021.05,C,C,0.17647058823529413,0.018314270152505446,Direct from reserve,0,0,4.5055762081784385,2
PH10273,Amoxicillin 250mg Capsules 30s,Corvane Pharma,Capsules,Below 25C,2.0,78.0,937.56,C,C,0.023529411764705882,0.001019607843137255,Direct from reserve,0,0,8.615384615384615,2
