sku,description,principal,category,product_group,storage_condition,units_per_case,case_length_cm,case_width_cm,case_height_cm,case_cbm,case_weight_kg,unit_cost_nzd,ti,hi,cases_per_pallet,pallet_height_cm,pallet_weight_kg,pallet_cbm
PH10142,Rosuvastatin 10mg Tablets 30s,Halvora Healthcare,Pharma,Tablets,Below 25C,240,56.3,39.4,33.5,0.07431,19.24,23.41,4,3,12,115.5,255.88,0.8917200000000001
PH10143,Ciprofloxacin 250mg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,60,46.6,28.0,34.2,0.04462,12.85,21.01,8,3,24,117.60000000000001,333.4,1.07088
PH10144,Losartan 100mg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,58.2,37.9,19.4,0.04279,6.51,7.92,4,6,24,131.39999999999998,181.24,1.02696
PH10145,Metformin 850mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,120,38.1,26.8,22.6,0.02308,5.26,12.44,9,5,45,128.0,261.7,1.0386
PH10146,Cetirizine 10mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,100,34.4,29.7,21.4,0.02186,4.04,7.87,9,4,36,100.6,170.44,0.78696
PH10148,Ibuprofen 200mg Tablets 10x10,Arcadine Pharma,Pharma,Tablets,Below 25C,240,31.9,42.2,27.5,0.03702,10.56,9.25,6,4,24,125.0,278.44,0.8884799999999999
PH10149,Simvastatin 20mg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,60,58.8,40.1,19.5,0.04598,12.55,16.8,4,6,24,132.0,326.20000000000005,1.10352
PH10150,Bisoprolol 2.5mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,100,51.9,30.7,15.4,0.02454,4.81,12.56,6,7,42,122.8,227.01999999999998,1.03068
PH10151,Pantoprazole 40mg Tablets 3x10,Arcadine Pharma,Pharma,Tablets,Below 25C,240,56.4,30.0,28.6,0.04839,8.1,17.0,5,3,15,100.80000000000001,146.5,0.72585
PH10152,Clopidogrel 75mg Tablets 3x10,Venrick Laboratories,Pharma,Tablets,Below 25C,120,31.2,30.6,32.7,0.03122,7.37,20.61,9,4,36,145.8,290.32,1.12392
PH10153,Esomeprazole 40mg Tablets 100s,Corvane Pharma,Pharma,Tablets,Below 25C,180,50.2,41.5,29.6,0.06167,9.82,8.57,4,5,20,163.0,221.4,1.2334
PH10154,Amlodipine 10mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,120,38.4,34.4,21.6,0.02853,6.26,16.81,6,6,36,144.60000000000002,250.35999999999999,1.02708
PH10155,Telmisartan 40mg Tablets 10x10,Arcadine Pharma,Pharma,Tablets,Below 25C,60,35.7,34.1,21.8,0.02654,4.22,12.82,6,5,30,124.0,151.6,0.7962
PH10156,Metformin 500mg Tablets 10x10,Dunmore Therapeutics,Pharma,Tablets,Below 25C,240,51.2,42.5,25.1,0.05462,15.2,22.59,4,3,12,90.30000000000001,207.39999999999998,0.65544
PH10157,Levothyroxine 100mcg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,240,30.9,42.6,28.2,0.03712,6.22,13.25,6,3,18,99.6,136.95999999999998,0.66816
PH10158,Losartan 50mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,120,32.0,33.3,18.2,0.01939,5.53,17.15,9,4,36,87.8,224.08,0.69804
PH10159,Glimepiride 2mg Tablets 100s,Arcadine Pharma,Pharma,Tablets,Below 25C,60,49.2,44.6,26.2,0.05749,12.48,18.08,4,5,20,146.0,274.6,1.1498
PH10160,Ibuprofen 400mg Tablets 3x10,Arcadine Pharma,Pharma,Tablets,Below 25C,100,43.0,28.8,16.1,0.01994,4.29,3.54,8,9,72,159.9,333.88,1.43568
PH10161,Escitalopram 20mg Tablets 30s,Halvora Healthcare,Pharma,Tablets,Below 25C,240,46.7,26.8,29.5,0.03692,6.11,2.61,8,3,24,103.5,171.64000000000001,0.88608
PH10162,Levothyroxine 50mcg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,240,33.7,43.8,20.5,0.03026,5.26,15.66,6,6,36,138.0,214.35999999999999,1.0893599999999999
PH10163,Telmisartan 40mg Tablets 30s,Venrick Laboratories,Pharma,Tablets,Below 25C,100,43.9,44.2,31.6,0.06132,13.35,2.08,4,2,8,78.2,131.8,0.49056
PH10164,Simvastatin 20mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,180,55.5,30.1,23.6,0.03942,9.26,12.57,6,3,18,85.80000000000001,191.68,0.70956
PH10165,Losartan 50mg Tablets 30s,Venrick Laboratories,Pharma,Tablets,Below 25C,240,53.3,34.8,31.9,0.05917,13.22,2.83,4,4,16,142.6,236.52,0.94672
PH10166,Clopidogrel 75mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,120,41.6,32.4,31.0,0.04178,11.45,20.68,6,4,24,139.0,299.79999999999995,1.00272
PH10167,Esomeprazole 20mg Tablets 30s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,32.0,41.0,18.0,0.02362,3.83,23.56,6,7,42,141.0,185.86,0.9920399999999999
PH10168,Carvedilol 6.25mg Tablets 100s,Corvane Pharma,Pharma,Tablets,Below 25C,100,55.8,34.1,19.2,0.03653,5.86,9.48,2,3,6,72.6,60.160000000000004,0.21917999999999999
PH10169,Allopurinol 300mg Tablets 100s,Venrick Laboratories,Pharma,Tablets,Below 25C,100,31.5,26.1,32.4,0.02664,6.72,9.25,12,2,24,79.8,186.28,0.63936
PH10170,Ciprofloxacin 500mg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,60,50.0,42.6,33.5,0.07136,13.0,14.96,4,3,12,115.5,181.0,0.8563200000000001
PH10171,Sertraline 100mg Tablets 10x10,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,180,38.5,29.2,24.9,0.02799,5.5,10.89,9,5,45,139.5,272.5,1.25955
PH10172,Pantoprazole 20mg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,240,36.8,39.3,19.5,0.0282,4.97,7.23,6,5,30,112.5,174.1,0.846
PH10173,Carvedilol 25mg Tablets 10x10,Venrick Laboratories,Pharma,Tablets,Below 25C,240,38.2,31.8,20.6,0.02502,3.94,6.64,9,4,36,97.4,166.84,0.90072
PH10174,Glimepiride 4mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,240,37.5,40.4,17.6,0.02666,6.81,6.11,6,6,36,120.60000000000001,270.15999999999997,0.95976
PH10175,Ciprofloxacin 500mg Tablets 100s,Venrick Laboratories,Pharma,Tablets,Below 25C,60,49.0,32.0,16.5,0.02587,6.8,22.78,5,4,20,81.0,161.0,0.5174
PH10176,Ibuprofen 400mg Tablets 100s,Halvora Healthcare,Pharma,Tablets,Below 25C,100,36.3,34.7,29.4,0.03703,7.34,8.75,6,3,18,103.19999999999999,157.12,0.66654
PH10177,Allopurinol 100mg Tablets 2x14,Arcadine Pharma,Pharma,Tablets,Below 25C,60,50.1,37.5,28.7,0.05392,8.93,16.67,4,3,12,101.1,132.16,0.6470400000000001
PH10178,Losartan 100mg Tablets 3x10,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,180,40.2,31.4,31.5,0.03976,10.38,21.95,6,2,12,78.0,149.56,0.47712
PH10179,Warfarin 1mg Tablets 30s,Halvora Healthcare,Pharma,Tablets,Below 25C,60,50.0,39.4,17.2,0.03388,9.05,4.26,6,4,24,83.8,242.20000000000002,0.8131200000000001
PH10180,Paracetamol 500mg Tablets 10x10,Venrick Laboratories,Pharma,Tablets,Below 25C,180,36.2,44.0,17.9,0.02851,4.57,18.94,4,6,24,122.39999999999999,134.68,0.68424
PH10181,Azithromycin 250mg Tablets 100s,Dunmore Therapeutics,Pharma,Tablets,Below 25C,240,58.5,39.0,22.3,0.05088,12.81,8.16,4,4,16,104.2,229.96,0.81408
PH10182,Allopurinol 100mg Tablets 100s,Halvora Healthcare,Pharma,Tablets,Below 25C,120,52.6,43.1,27.8,0.06302,12.5,24.13,2,3,6,98.4,100.0,0.37812
PH10183,Metoprolol 100mg Tablets 10x10,Dunmore Therapeutics,Pharma,Tablets,Below 25C,60,48.6,27.0,26.2,0.03438,6.75,7.73,8,3,24,93.6,187.0,0.8251200000000001
PH10184,Levothyroxine 50mcg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,180,38.1,29.4,18.9,0.02117,3.89,21.23,9,6,54,128.39999999999998,235.06,1.14318
PH10185,Atorvastatin 20mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,120,43.1,28.1,27.5,0.03331,8.89,9.08,7,3,21,97.5,211.69,0.69951
PH10186,Levothyroxine 50mcg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,240,48.6,33.9,34.9,0.0575,17.22,6.27,6,2,12,84.8,231.64,0.6900000000000001
PH10187,Prednisolone 25mg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,180,38.8,27.4,34.8,0.037,8.57,22.33,8,4,32,154.2,299.24,1.184
PH10188,Atorvastatin 10mg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,46.4,25.3,21.5,0.02524,5.11,11.84,8,3,24,79.5,147.64000000000001,0.60576
PH10189,Atorvastatin 40mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,100,30.3,37.5,32.0,0.03636,7.62,8.07,9,4,36,143.0,299.32,1.3089600000000001
PH10190,Atorvastatin 20mg Tablets 3x10,Venrick Laboratories,Pharma,Tablets,Below 25C,180,47.2,28.6,21.1,0.02848,5.44,7.47,8,5,40,120.5,242.60000000000002,1.1392
PH10191,Allopurinol 300mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,240,46.1,41.2,30.9,0.05869,11.73,11.25,3,4,12,138.6,165.76,0.70428
PH10192,Cetirizine 10mg Tablets 30s,Halvora Healthcare,Pharma,Tablets,Below 25C,100,35.7,28.5,29.8,0.03032,4.7,18.55,9,5,45,164.0,236.5,1.3644
PH10193,Montelukast 10mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,120,35.4,33.3,23.7,0.02794,5.37,15.9,9,4,36,109.8,218.32,1.00584
PH10194,Ciprofloxacin 250mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,120,37.7,36.7,32.0,0.04427,7.33,15.71,6,3,18,111.0,156.94,0.7968599999999999
PH10195,Pantoprazole 20mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,120,60.0,41.1,25.4,0.06264,17.63,18.98,4,2,8,65.8,166.04,0.50112
PH10196,Warfarin 5mg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,60,53.1,34.4,16.0,0.02923,6.08,16.92,4,9,36,159.0,243.88,1.0522799999999999
PH10197,Warfarin 1mg Tablets 100s,Venrick Laboratories,Pharma,Tablets,Below 25C,60,34.0,30.4,19.5,0.02016,4.96,11.19,9,3,27,73.5,158.92,0.54432
PH10198,Bisoprolol 2.5mg Tablets 30s,Dunmore Therapeutics,Pharma,Tablets,Below 25C,120,42.8,27.5,23.6,0.02778,7.53,3.46,8,6,48,156.60000000000002,386.44,1.33344
PH10199,Levothyroxine 100mcg Tablets 10x10,Arcadine Pharma,Pharma,Tablets,Below 25C,180,54.0,40.9,28.2,0.06228,10.18,23.19,4,3,12,99.6,147.16,0.74736
PH10200,Escitalopram 20mg Tablets 2x14,Halvora Healthcare,Pharma,Tablets,Below 25C,120,42.3,43.9,24.5,0.0455,8.04,11.88,4,5,20,137.5,185.79999999999998,0.9099999999999999
PH10201,Montelukast 10mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,120,36.2,43.1,32.0,0.04993,13.57,2.54,6,4,24,143.0,350.68,1.19832
PH10202,Telmisartan 40mg Tablets 100s,Halvora Healthcare,Pharma,Tablets,Below 25C,180,30.1,28.7,33.6,0.02903,4.95,15.19,12,3,36,115.80000000000001,203.20000000000002,1.04508
PH10203,Atorvastatin 40mg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,100,36.0,37.4,34.5,0.04645,8.11,8.48,6,3,18,118.5,170.98,0.8361
PH10204,Warfarin 5mg Tablets 2x14,Venrick Laboratories,Pharma,Tablets,Below 25C,180,44.4,29.3,15.1,0.01964,4.11,7.22,8,5,40,90.5,189.4,0.7856000000000001
PH10205,Glimepiride 2mg Tablets 10x10,Arcadine Pharma,Pharma,Tablets,Below 25C,180,48.2,33.3,20.6,0.03306,8.85,22.64,6,5,30,118.0,290.5,0.9918
PH10206,Glimepiride 4mg Tablets 10x10,Venrick Laboratories,Pharma,Tablets,Below 25C,100,47.8,30.0,31.9,0.04574,13.32,10.59,8,2,16,78.8,238.12,0.73184
PH10207,Sertraline 100mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,240,43.4,33.2,25.1,0.03617,10.52,17.43,6,2,12,65.2,151.24,0.43404
PH10208,Allopurinol 100mg Tablets 30s,Venrick Laboratories,Pharma,Tablets,Below 25C,120,59.6,39.0,21.5,0.04997,10.38,11.58,3,4,12,101.0,149.56,0.59964
PH10209,Losartan 50mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,240,50.7,31.1,23.9,0.03768,8.98,15.24,6,3,18,86.69999999999999,186.64000000000001,0.67824
PH10210,Losartan 100mg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,60,40.5,32.4,15.8,0.02073,3.69,5.05,6,9,54,157.20000000000002,224.26,1.1194199999999999
PH10211,Esomeprazole 20mg Tablets 10x10,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,44.5,34.4,24.2,0.03705,7.75,9.56,6,3,18,87.6,164.5,0.6669
PH10212,Esomeprazole 20mg Tablets 2x14,Venrick Laboratories,Pharma,Tablets,Below 25C,60,48.7,25.7,29.1,0.03642,9.31,16.59,8,2,16,73.2,173.96,0.58272
PH10213,Rosuvastatin 5mg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,60,52.6,27.8,26.4,0.0386,9.47,13.62,6,5,30,147.0,309.1,1.1580000000000001
PH10214,Furosemide 40mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,120,54.1,32.0,23.2,0.04016,6.45,24.05,4,4,16,107.8,128.2,0.64256
PH10215,Bisoprolol 5mg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,120,54.7,42.0,24.8,0.05698,16.99,19.38,4,2,8,64.6,160.92,0.45584
PH10216,Metoprolol 50mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,240,32.7,41.0,24.1,0.03231,7.21,19.17,6,3,18,87.30000000000001,154.78,0.58158
PH10217,Paracetamol 500mg Tablets 100s,Halvora Healthcare,Pharma,Tablets,Below 25C,240,43.2,25.2,27.1,0.0295,7.46,16.07,8,5,40,150.5,323.4,1.18
PH10218,Ibuprofen 400mg Tablets 2x14,Venrick Laboratories,Pharma,Tablets,Below 25C,60,37.4,25.9,31.3,0.03032,6.3,20.05,9,2,18,77.6,138.39999999999998,0.54576
PH10219,Warfarin 1mg Tablets 10x10,Venrick Laboratories,Pharma,Tablets,Below 25C,180,55.7,28.1,24.6,0.0385,9.61,17.06,6,4,24,113.4,255.64,0.9239999999999999
PH10220,Metformin 500mg Tablets 3x10,Venrick Laboratories,Pharma,Tablets,Below 25C,120,58.7,27.5,27.3,0.04407,9.58,3.61,6,5,30,151.5,312.4,1.3220999999999998
PH10221,Rosuvastatin 10mg Tablets 100s,Arcadine Pharma,Pharma,Tablets,Below 25C,120,41.5,25.0,29.3,0.0304,8.62,7.68,8,5,40,161.5,369.79999999999995,1.216
PH10222,Escitalopram 10mg Tablets 100s,Arcadine Pharma,Pharma,Tablets,Below 25C,120,30.8,31.4,23.8,0.02302,4.18,18.68,9,6,54,157.8,250.71999999999997,1.24308
PH10223,Metformin 850mg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,60,44.8,37.1,17.9,0.02975,4.67,10.58,4,3,12,68.69999999999999,81.03999999999999,0.357
PH10224,Telmisartan 80mg Tablets 2x14,Halvora Healthcare,Pharma,Tablets,Below 25C,100,47.8,36.6,21.1,0.03691,9.9,16.63,6,3,18,78.30000000000001,203.20000000000002,0.66438
PH10225,Metoprolol 100mg Tablets 30s,Venrick Laboratories,Pharma,Tablets,Below 25C,120,43.3,28.6,19.5,0.02415,6.15,5.39,8,7,56,151.5,369.40000000000003,1.3524
PH10226,Esomeprazole 40mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,240,34.2,41.9,28.1,0.04027,9.38,10.5,6,5,30,155.5,306.40000000000003,1.2081
PH10227,Metformin 850mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,240,36.7,31.8,28.9,0.03373,9.98,18.76,9,3,27,101.69999999999999,294.46000000000004,0.9107100000000001
PH10228,Metformin 500mg Tablets 30s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,240,32.3,30.1,17.4,0.01692,2.61,16.73,9,5,45,102.0,142.45,0.7614000000000001
PH10229,Loratadine 10mg Tablets 100s,Venrick Laboratories,Pharma,Tablets,Below 25C,100,50.6,36.2,17.1,0.03132,8.95,24.25,4,4,16,83.4,168.2,0.50112
PH10230,Losartan 50mg Tablets 100s,Dunmore Therapeutics,Pharma,Tablets,Below 25C,60,56.2,39.2,18.5,0.04076,11.86,24.87,4,7,28,144.5,357.08,1.1412799999999999
PH10231,Furosemide 40mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,100,39.3,43.8,18.2,0.03133,7.94,3.68,6,6,36,124.19999999999999,310.84000000000003,1.1278799999999998
PH10232,Azithromycin 500mg Tablets 3x10,Venrick Laboratories,Pharma,Tablets,Below 25C,240,46.6,33.8,21.2,0.03339,6.08,21.18,4,7,28,163.4,195.24,0.9349200000000001
PH10233,Azithromycin 250mg Tablets 30s,Dunmore Therapeutics,Pharma,Tablets,Below 25C,100,49.5,44.6,18.9,0.04173,12.01,11.74,4,5,20,109.5,265.2,0.8346
PH10234,Atorvastatin 20mg Tablets 100s,Corvane Pharma,Pharma,Tablets,Below 25C,180,53.5,34.7,31.4,0.05829,11.31,11.82,4,3,12,109.19999999999999,160.72,0.69948
PH10235,Amlodipine 10mg Tablets 2x14,Venrick Laboratories,Pharma,Tablets,Below 25C,60,34.5,30.5,29.3,0.03083,8.82,7.9,9,3,27,102.9,263.14,0.83241
PH10236,Losartan 100mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,240,52.3,28.1,28.5,0.04188,10.82,8.87,6,3,18,100.5,219.76,0.7538400000000001
PH10237,Ciprofloxacin 500mg Tablets 30s,Venrick Laboratories,Pharma,Tablets,Below 25C,240,52.5,31.3,26.2,0.04305,8.8,10.12,6,4,24,119.8,236.20000000000002,1.0332
PH10238,Bisoprolol 2.5mg Tablets 100s,Venrick Laboratories,Pharma,Tablets,Below 25C,120,50.2,29.3,27.4,0.0403,6.31,14.35,6,4,24,124.6,176.44,0.9672000000000001
PH10239,Esomeprazole 20mg Tablets 100s,Arcadine Pharma,Pharma,Tablets,Below 25C,100,45.1,38.7,25.8,0.04503,7.54,15.58,6,5,30,144.0,251.2,1.3509
PH10240,Esomeprazole 40mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,180,50.5,34.3,20.5,0.03551,8.13,24.86,4,7,28,158.5,252.64000000000001,0.99428
PH10241,Escitalopram 10mg Tablets 10x10,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,60,51.6,28.3,32.0,0.04673,8.88,23.68,5,3,15,111.0,158.20000000000002,0.70095
PH10242,Escitalopram 10mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,60,50.4,29.7,21.9,0.03278,5.67,22.03,6,5,30,124.5,195.1,0.9833999999999999
PH10243,Azithromycin 250mg Tablets 2x14,Arcadine Pharma,Pharma,Tablets,Below 25C,60,48.3,33.9,25.4,0.04159,8.74,6.06,6,5,30,142.0,287.2,1.2477
PH10244,Furosemide 40mg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,240,34.4,25.5,26.1,0.02289,3.94,15.28,9,2,18,67.2,95.92,0.41202
PH10245,Warfarin 5mg Tablets 3x10,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,180,58.3,37.1,30.5,0.06597,19.64,10.01,4,3,12,106.5,260.68,0.79164
PH10246,Metoprolol 100mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,100,35.2,36.4,17.4,0.02229,6.31,7.55,5,8,40,154.2,277.4,0.8916000000000001
PH10247,Prednisolone 5mg Tablets 30s,Arcadine Pharma,Pharma,Tablets,Below 25C,60,47.2,38.5,23.1,0.04198,10.47,15.54,6,5,30,130.5,339.1,1.2594
PH10248,Prednisolone 5mg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,240,54.0,26.8,32.6,0.04718,9.47,25.0,6,3,18,112.80000000000001,195.46,0.84924
PH10249,Sertraline 100mg Tablets 3x10,Venrick Laboratories,Pharma,Tablets,Below 25C,100,38.6,31.9,31.7,0.03903,10.96,2.34,8,3,24,110.1,288.04,0.93672
PH10250,Levothyroxine 100mcg Tablets 100s,Dunmore Therapeutics,Pharma,Tablets,Below 25C,240,51.7,26.6,18.4,0.025304048000000003,5.5,22.07,6,5,30,107.0,190.0,0.75912144
PH10251,Rosuvastatin 5mg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,180,42.4,36.0,17.2,0.02625,5.2,7.67,6,5,30,101.0,181.0,0.7875
PH10252,Amlodipine 5mg Tablets 3x10,Arcadine Pharma,Pharma,Tablets,Below 25C,240,52.0,38.0,31.7,0.06264,17.4,10.1,3,4,12,141.8,233.79999999999998,0.75168
PH10253,Metoprolol 50mg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,240,47.1,26.5,19.2,0.02396,3.92,24.76,8,5,40,111.0,181.8,0.9583999999999999
PH10254,Gliclazide 80mg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,57.1,32.8,31.5,0.059,10.04,16.62,6,4,24,141.0,265.96,1.416
PH10255,Diclofenac 50mg Tablets 100s,Corvane Pharma,Pharma,Tablets,Below 25C,120,55.3,25.9,16.7,0.02392,3.92,19.34,6,5,30,98.5,142.6,0.7176
PH10256,Telmisartan 80mg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,120,37.3,40.0,20.8,0.03103,6.79,10.0,6,7,42,160.6,310.18,1.3032599999999999
PH10257,Prednisolone 5mg Tablets 100s,Corvane Pharma,Pharma,Tablets,Below 25C,240,49.8,30.0,19.7,0.02943,6.89,16.56,8,4,32,93.8,245.48,0.94176
PH10258,Carvedilol 6.25mg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,58.0,30.8,30.0,0.05359,11.82,11.32,6,2,12,75.0,166.84,0.64308
PH10259,Glimepiride 2mg Tablets 2x14,Arcadine Pharma,Pharma,Tablets,Below 25C,240,55.2,25.4,29.7,0.04164,6.37,16.08,6,3,18,104.1,139.66,0.7495200000000001
PH10260,Clopidogrel 75mg Tablets 100s,Halvora Healthcare,Pharma,Tablets,Below 25C,100,42.2,26.4,30.9,0.03443,6.71,20.48,6,4,24,138.6,186.04,0.82632
PH10261,Fish Oil Omega-3 1000mg Capsules 10x10,Venrick Laboratories,Pharma,Capsules,Below 25C,120,52.1,25.4,21.1,0.02792,7.13,21.25,6,5,30,120.5,238.9,0.8376
PH10262,Itraconazole 100mg Capsules 2x14,Marwick Pharmaceuticals,Pharma,Capsules,Below 25C,120,37.0,35.8,29.1,0.03855,8.86,9.57,6,2,12,73.2,131.32,0.4626
PH10263,Fluoxetine 20mg Capsules 60s,Venrick Laboratories,Pharma,Capsules,Below 25C,100,38.4,30.6,27.6,0.03243,5.37,27.66,9,3,27,97.80000000000001,169.99,0.87561
PH10264,Vitamin D3 1000IU Capsules 30s,Corvane Pharma,Pharma,Capsules,Below 25C,60,44.9,39.2,20.8,0.03661,6.19,10.6,5,7,35,160.6,241.65,1.28135
PH10265,Cefalexin 500mg Capsules 30s,Venrick Laboratories,Pharma,Capsules,Below 25C,100,40.3,36.3,23.1,0.03379,9.45,16.52,6,3,18,84.30000000000001,195.1,0.60822
PH10266,Itraconazole 100mg Capsules 60s,Venrick Laboratories,Pharma,Capsules,Below 25C,200,43.5,25.1,26.4,0.02882,4.56,4.54,8,3,24,94.19999999999999,134.44,0.69168
PH10267,Pregabalin 150mg Capsules 2x14,Solandra Health,Pharma,Capsules,Below 25C,60,40.7,33.5,16.2,0.02209,5.53,20.66,6,5,30,96.0,190.9,0.6627
PH10268,Fluoxetine 20mg Capsules 30s,Venrick Laboratories,Pharma,Capsules,Below 25C,60,51.2,38.6,29.8,0.05889,8.37,15.79,4,2,8,74.6,91.96,0.47112
PH10269,Cefalexin 250mg Capsules 3x10,Corvane Pharma,Pharma,Capsules,Below 25C,200,37.0,25.9,24.3,0.02329,4.62,20.7,9,5,45,136.5,232.9,1.0480500000000001
PH10270,Doxycycline 100mg Capsules 10x10,Corvane Pharma,Pharma,Capsules,Below 25C,200,30.2,30.3,16.7,0.01528,3.19,23.99,9,6,54,115.19999999999999,197.26,0.82512
PH10271,Vitamin D3 1000IU Capsules 10x10,Venrick Laboratories,Pharma,Capsules,Below 25C,120,48.3,39.8,28.5,0.05479,7.81,23.66,6,3,18,100.5,165.57999999999998,0.98622
PH10272,Amoxicillin 500mg Capsules 10x10,Solandra Health,Pharma,Capsules,Below 25C,120,45.4,39.0,17.8,0.03152,4.7,20.09,6,6,36,121.80000000000001,194.20000000000002,1.13472
PH10273,Amoxicillin 250mg Capsules 30s,Corvane Pharma,Pharma,Capsules,Below 25C,100,38.1,33.0,20.7,0.02603,4.69,12.02,9,5,45,118.5,236.05,1.1713500000000001
PH10274,Amoxicillin 250mg Capsules 2x14,Solandra Health,Pharma,Capsules,Below 25C,200,49.1,31.8,25.5,0.03982,8.91,24.28,6,5,30,142.5,292.3,1.1946
PH10275,Gabapentin 300mg Capsules 30s,Marwick Pharmaceuticals,Pharma,Capsules,Below 25C,60,34.6,37.6,18.7,0.02433,6.22,19.05,6,3,18,71.1,136.95999999999998,0.43794
PH10276,Doxycycline 100mg Capsules 3x10,Corvane Pharma,Pharma,Capsules,Below 25C,100,53.7,29.2,25.5,0.03999,8.48,27.32,6,5,30,142.5,279.4,1.1997
PH10277,Tamsulosin 400mcg Capsules 30s,Corvane Pharma,Pharma,Capsules,Below 25C,120,41.8,33.4,29.3,0.04091,9.54,13.24,6,5,30,161.5,311.2,1.2273
PH10278,Itraconazole 100mg Capsules 10x10,Marwick Pharmaceuticals,Pharma,Capsules,Below 25C,200,51.7,39.5,20.8,0.04248,9.07,8.58,3,4,12,98.2,133.84,0.50976
PH10279,Amoxicillin 500mg Capsules 3x10,Marwick Pharmaceuticals,Pharma,Capsules,Below 25C,60,52.3,35.1,21.6,0.03965,8.99,6.15,4,4,16,101.4,168.84,0.6344
PH10280,Tamsulosin 400mcg Capsules 60s,Venrick Laboratories,Pharma,Capsules,Below 25C,100,39.8,37.1,17.1,0.02525,6.15,3.88,6,4,24,83.4,172.60000000000002,0.6060000000000001
PH10281,Gabapentin 300mg Capsules 60s,Corvane Pharma,Pharma,Capsules,Below 25C,60,50.7,28.9,17.6,0.02579,5.91,27.93,6,3,18,67.80000000000001,131.38,0.46422
PH10282,Omeprazole 40mg Capsules 3x10,Corvane Pharma,Pharma,Capsules,Below 25C,120,39.7,26.6,19.4,0.02049,5.09,15.97,9,4,36,92.6,208.24,0.7376400000000001
