sku,description,principal,category,product_group,storage_condition,units_per_case,case_length_cm,case_width_cm,case_height_cm,case_cbm,case_weight_kg,unit_cost_nzd,ti_cases_per_layer,hi_layers
PH10170,Ciprofloxacin 500mg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,60,50.0,42.6,33.5,0.07136,13.0,14.96,4,3
PH10171,Sertraline 100mg Tablets 10x10,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,180,38.5,29.2,24.9,0.02799,5.5,10.89,9,5
PH10172,Pantoprazole 20mg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,240,36.8,39.3,19.5,0.0282,4.97,7.23,6,5
PH10173,Carvedilol 25mg Tablets 10x10,Venrick Laboratories,Pharma,Tablets,Below 25C,240,38.2,31.8,20.6,0.02502,3.94,6.64,9,4
PH10174,Glimepiride 4mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,240,37.5,40.4,17.6,0.02666,6.81,6.11,6,6
PH10175,Ciprofloxacin 500mg Tablets 100s,Venrick Laboratories,Pharma,Tablets,Below 25C,60,49.0,32.0,16.5,0.02587,6.8,22.78,5,4
PH10176,Ibuprofen 400mg Tablets 100s,Halvora Healthcare,Pharma,Tablets,Below 25C,100,36.3,34.7,29.4,0.03703,7.34,8.75,6,3
PH10177,Allopurinol 100mg Tablets 2x14,Arcadine Pharma,Pharma,Tablets,Below 25C,60,50.1,37.5,28.7,0.05392,8.93,16.67,4,3
PH10178,Losartan 100mg Tablets 3x10,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,180,40.2,31.4,31.5,0.03976,10.38,21.95,6,2
PH10179,Warfarin 1mg Tablets 30s,Halvora Healthcare,Pharma,Tablets,Below 25C,60,50.0,39.4,17.2,0.03388,9.05,4.26,6,4
PH10180,Paracetamol 500mg Tablets 10x10,Venrick Laboratories,Pharma,Tablets,Below 25C,180,36.2,44.0,17.9,0.02851,4.57,18.94,4,6
PH10181,Azithromycin 250mg Tablets 100s,Dunmore Therapeutics,Pharma,Tablets,Below 25C,240,58.5,39.0,22.3,0.05088,12.81,8.16,4,4
PH10182,Allopurinol 100mg Tablets 100s,Halvora Healthcare,Pharma,Tablets,Below 25C,120,52.6,43.1,27.8,0.06302,12.5,24.13,2,3
PH10183,Metoprolol 100mg Tablets 10x10,Dunmore Therapeutics,Pharma,Tablets,Below 25C,60,48.6,27.0,26.2,0.03438,6.75,7.73,8,3
PH10184,Levothyroxine 50mcg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,180,38.1,29.4,18.9,0.02117,3.89,21.23,9,6
PH10185,Atorvastatin 20mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,120,43.1,28.1,27.5,0.03331,8.89,9.08,7,3
PH10186,Levothyroxine 50mcg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,240,48.6,33.9,34.9,0.0575,17.22,6.27,6,2
PH10187,Prednisolone 25mg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,180,38.8,27.4,34.8,0.037,8.57,22.33,8,4
PH10188,Atorvastatin 10mg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,46.4,25.3,21.5,0.02524,5.11,11.84,8,3
PH10189,Atorvastatin 40mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,100,30.3,37.5,32.0,0.03636,7.62,8.07,9,4
PH10190,Atorvastatin 20mg Tablets 3x10,Venrick Laboratories,Pharma,Tablets,Below 25C,180,47.2,28.6,21.1,0.02848,5.44,7.47,8,5
PH10191,Allopurinol 300mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,240,46.1,41.2,30.9,0.05869,11.73,11.25,3,4
PH10192,Cetirizine 10mg Tablets 30s,Halvora Healthcare,Pharma,Tablets,Below 25C,100,35.7,28.5,29.8,0.03032,4.7,18.55,9,5
PH10193,Montelukast 10mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,120,35.4,33.3,23.7,0.02794,5.37,15.9,9,4
PH10194,Ciprofloxacin 250mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,120,37.7,36.7,32.0,0.04427,7.33,15.71,6,3
PH10195,Pantoprazole 20mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,120,60.0,41.1,25.4,0.06264,17.63,18.98,4,2
PH10196,Warfarin 5mg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,60,53.1,34.4,16.0,0.02923,6.08,16.92,4,9
PH10197,Warfarin 1mg Tablets 100s,Venrick Laboratories,Pharma,Tablets,Below 25C,60,34.0,30.4,19.5,0.02016,4.96,11.19,9,3
PH10198,Bisoprolol 2.5mg Tablets 30s,Dunmore Therapeutics,Pharma,Tablets,Below 25C,120,42.8,27.5,23.6,0.02778,7.53,3.46,8,6
PH10199,Levothyroxine 100mcg Tablets 10x10,Arcadine Pharma,Pharma,Tablets,Below 25C,180,54.0,40.9,28.2,0.06228,10.18,23.19,4,3
PH10200,Escitalopram 20mg Tablets 2x14,Halvora Healthcare,Pharma,Tablets,Below 25C,120,42.3,43.9,24.5,0.0455,8.04,11.88,4,5
PH10201,Montelukast 10mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,120,36.2,43.1,32.0,0.04993,13.57,2.54,6,4
PH10202,Telmisartan 40mg Tablets 100s,Halvora Healthcare,Pharma,Tablets,Below 25C,180,30.1,28.7,33.6,0.02903,4.95,15.19,12,3
PH10203,Atorvastatin 40mg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,100,36.0,37.4,34.5,0.04645,8.11,8.48,6,3
PH10204,Warfarin 5mg Tablets 2x14,Venrick Laboratories,Pharma,Tablets,Below 25C,180,44.4,29.3,15.1,0.01964,4.11,7.22,8,5
PH10205,Glimepiride 2mg Tablets 10x10,Arcadine Pharma,Pharma,Tablets,Below 25C,180,48.2,33.3,20.6,0.03306,8.85,22.64,6,5
PH10206,Glimepiride 4mg Tablets 10x10,Venrick Laboratories,Pharma,Tablets,Below 25C,100,47.8,30.0,31.9,0.04574,13.32,10.59,8,2
PH10207,Sertraline 100mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,240,43.4,33.2,25.1,0.03617,10.52,17.43,6,2
PH10208,Allopurinol 100mg Tablets 30s,Venrick Laboratories,Pharma,Tablets,Below 25C,120,59.6,39.0,21.5,0.04997,10.38,11.58,3,4
PH10209,Losartan 50mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,240,50.7,31.1,23.9,0.03768,8.98,15.24,6,3
PH10210,Losartan 100mg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,60,40.5,32.4,15.8,0.02073,3.69,5.05,6,9
PH10211,Esomeprazole 20mg Tablets 10x10,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,44.5,34.4,24.2,0.03705,7.75,9.56,6,3
PH10212,Esomeprazole 20mg Tablets 2x14,Venrick Laboratories,Pharma,Tablets,Below 25C,60,48.7,25.7,29.1,0.03642,9.31,16.59,8,2
PH10213,Rosuvastatin 5mg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,60,52.6,27.8,26.4,0.0386,9.47,13.62,6,5
PH10214,Furosemide 40mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,120,54.1,32.0,23.2,0.04016,6.45,24.05,4,4
PH10215,Bisoprolol 5mg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,120,54.7,42.0,24.8,0.05698,16.99,19.38,8,2
PH10216,Metoprolol 50mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,240,32.7,41.0,24.1,0.03231,7.21,19.17,6,3
PH10217,Paracetamol 500mg Tablets 100s,Halvora Healthcare,Pharma,Tablets,Below 25C,240,43.2,25.2,27.1,0.0295,7.46,16.07,8,5
PH10218,Ibuprofen 400mg Tablets 2x14,Venrick Laboratories,Pharma,Tablets,Below 25C,60,37.4,25.9,31.3,0.03032,6.3,20.05,9,2
PH10219,Warfarin 1mg Tablets 10x10,Venrick Laboratories,Pharma,Tablets,Below 25C,180,55.7,28.1,24.6,0.0385,9.61,17.06,6,4
PH10220,Metformin 500mg Tablets 3x10,Venrick Laboratories,Pharma,Tablets,Below 25C,120,58.7,27.5,27.3,0.04407,9.58,3.61,6,5
PH10221,Rosuvastatin 10mg Tablets 100s,Arcadine Pharma,Pharma,Tablets,Below 25C,120,41.5,25.0,29.3,0.0304,8.62,7.68,8,5
PH10222,Escitalopram 10mg Tablets 100s,Arcadine Pharma,Pharma,Tablets,Below 25C,120,30.8,31.4,23.8,0.02302,4.18,18.68,9,6
PH10223,Metformin 850mg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,60,44.8,37.1,17.9,0.02975,4.67,10.58,4,3
PH10224,Telmisartan 80mg Tablets 2x14,Halvora Healthcare,Pharma,Tablets,Below 25C,100,47.8,36.6,21.1,0.03691,9.9,16.63,6,3
PH10225,Metoprolol 100mg Tablets 30s,Venrick Laboratories,Pharma,Tablets,Below 25C,120,43.3,28.6,19.5,0.02415,6.15,5.39,8,7
PH10226,Esomeprazole 40mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,240,34.2,41.9,28.1,0.04027,9.38,10.5,6,5
PH10227,Metformin 850mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,240,36.7,31.8,28.9,0.03373,9.98,18.76,9,3
PH10228,Metformin 500mg Tablets 30s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,240,32.3,30.1,17.4,0.01692,2.61,16.73,9,5
PH10229,Loratadine 10mg Tablets 100s,Venrick Laboratories,Pharma,Tablets,Below 25C,100,50.6,36.2,17.1,0.03132,8.95,24.25,4,4
PH10230,Losartan 50mg Tablets 100s,Dunmore Therapeutics,Pharma,Tablets,Below 25C,60,56.2,39.2,18.5,0.04076,11.86,24.87,4,7
PH10231,Furosemide 40mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,100,39.3,43.8,18.2,0.03133,7.94,3.68,6,6
PH10232,Azithromycin 500mg Tablets 3x10,Venrick Laboratories,Pharma,Tablets,Below 25C,240,46.6,33.8,21.2,0.03339,6.08,21.18,4,7
PH10233,Azithromycin 250mg Tablets 30s,Dunmore Therapeutics,Pharma,Tablets,Below 25C,100,49.5,44.6,18.9,0.04173,12.01,11.74,4,5
PH10234,Atorvastatin 20mg Tablets 100s,Corvane Pharma,Pharma,Tablets,Below 25C,180,53.5,34.7,31.4,0.05829,11.31,11.82,4,3
PH10235,Amlodipine 10mg Tablets 2x14,Venrick Laboratories,Pharma,Tablets,Below 25C,60,34.5,30.5,29.3,0.03083,8.82,7.9,9,3
PH10236,Losartan 100mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,240,52.3,28.1,28.5,0.04188,10.82,8.87,6,3
PH10237,Ciprofloxacin 500mg Tablets 30s,Venrick Laboratories,Pharma,Tablets,Below 25C,240,52.5,31.3,26.2,0.04305,8.8,10.12,6,4
PH10238,Bisoprolol 2.5mg Tablets 100s,Venrick Laboratories,Pharma,Tablets,Below 25C,120,50.2,29.3,27.4,0.0403,6.31,14.35,6,4
PH10239,Esomeprazole 20mg Tablets 100s,Arcadine Pharma,Pharma,Tablets,Below 25C,100,45.1,38.7,25.8,0.04503,7.54,15.58,6,5
PH10240,Esomeprazole 40mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,180,50.5,34.3,20.5,0.03551,8.13,24.86,4,7
PH10241,Escitalopram 10mg Tablets 10x10,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,60,51.6,28.3,32.0,0.04673,8.88,23.68,5,3
PH10242,Escitalopram 10mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,60,50.4,29.7,21.9,0.03278,5.67,22.03,6,5
PH10243,Azithromycin 250mg Tablets 2x14,Arcadine Pharma,Pharma,Tablets,Below 25C,60,48.3,33.9,25.4,0.04159,8.74,6.06,6,5
PH10244,Furosemide 40mg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,240,34.4,25.5,26.1,0.02289,3.94,15.28,9,2
PH10245,Warfarin 5mg Tablets 3x10,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,180,58.3,37.1,30.5,0.06597,19.64,10.01,4,3
PH10246,Metoprolol 100mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,100,35.2,36.4,17.4,0.02229,6.31,7.55,5,8
PH10247,Prednisolone 5mg Tablets 30s,Arcadine Pharma,Pharma,Tablets,Below 25C,60,47.2,38.5,23.1,0.04198,10.47,15.54,6,5
PH10248,Prednisolone 5mg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,240,54.0,26.8,32.6,0.04718,9.47,25.0,6,3
PH10249,Sertraline 100mg Tablets 3x10,Venrick Laboratories,Pharma,Tablets,Below 25C,100,38.6,31.9,31.7,0.03903,10.96,2.34,8,3
PH10250,Levothyroxine 100mcg Tablets 100s,Dunmore Therapeutics,Pharma,Tablets,Below 25C,240,51.7,26.6,18.4,0.253,5.5,22.07,6,5
PH10251,Rosuvastatin 5mg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,180,42.4,36.0,17.2,0.02625,5.2,7.67,6,5
PH10252,Amlodipine 5mg Tablets 3x10,Arcadine Pharma,Pharma,Tablets,Below 25C,240,52.0,38.0,31.7,0.06264,17.4,10.1,3,4
PH10253,Metoprolol 50mg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,240,47.1,26.5,19.2,0.02396,3.92,24.76,8,5
PH10254,Gliclazide 80mg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,57.1,32.8,31.5,0.059,10.04,16.62,6,4
PH10255,Diclofenac 50mg Tablets 100s,Corvane Pharma,Pharma,Tablets,Below 25C,120,55.3,25.9,16.7,0.02392,3.92,19.34,6,5
PH10256,Telmisartan 80mg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,120,37.3,40.0,20.8,0.03103,6.79,10.0,6,7
PH10257,Prednisolone 5mg Tablets 100s,Corvane Pharma,Pharma,Tablets,Below 25C,240,49.8,30.0,19.7,0.02943,6.89,16.56,8,4
PH10258,Carvedilol 6.25mg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,58.0,30.8,30.0,0.05359,11.82,11.32,6,2
PH10259,Glimepiride 2mg Tablets 2x14,Arcadine Pharma,Pharma,Tablets,Below 25C,240,55.2,25.4,29.7,0.04164,6.37,16.08,6,3
PH10260,Clopidogrel 75mg Tablets 100s,Halvora Healthcare,Pharma,Tablets,Below 25C,100,42.2,26.4,30.9,0.03443,6.71,20.48,6,4
PH10261,Fish Oil Omega-3 1000mg Capsules 10x10,Venrick Laboratories,Pharma,Capsules,Below 25C,120,52.1,25.4,21.1,0.02792,7.13,21.25,6,5
PH10262,Itraconazole 100mg Capsules 2x14,Marwick Pharmaceuticals,Pharma,Capsules,Below 25C,120,37.0,35.8,29.1,0.03855,8.86,9.57,6,2
PH10263,Fluoxetine 20mg Capsules 60s,Venrick Laboratories,Pharma,Capsules,Below 25C,100,38.4,30.6,27.6,0.03243,5.37,27.66,9,3
PH10264,Vitamin D3 1000IU Capsules 30s,Corvane Pharma,Pharma,Capsules,Below 25C,60,44.9,39.2,20.8,0.03661,6.19,10.6,5,7
PH10265,Cefalexin 500mg Capsules 30s,Venrick Laboratories,Pharma,Capsules,Below 25C,100,40.3,36.3,23.1,0.03379,9.45,16.52,6,3
PH10266,Itraconazole 100mg Capsules 60s,Venrick Laboratories,Pharma,Capsules,Below 25C,200,43.5,25.1,26.4,0.02882,4.56,4.54,8,3
PH10267,Pregabalin 150mg Capsules 2x14,Solandra Health,Pharma,Capsules,Below 25C,60,40.7,33.5,16.2,0.02209,5.53,20.66,6,5
PH10268,Fluoxetine 20mg Capsules 30s,Venrick Laboratories,Pharma,Capsules,Below 25C,60,51.2,38.6,29.8,0.05889,8.37,15.79,4,2
PH10269,Cefalexin 250mg Capsules 3x10,Corvane Pharma,Pharma,Capsules,Below 25C,200,37.0,25.9,24.3,0.02329,4.62,20.7,9,5
PH10270,Doxycycline 100mg Capsules 10x10,Corvane Pharma,Pharma,Capsules,Below 25C,200,30.2,30.3,16.7,0.01528,3.19,23.99,9,6
PH10271,Vitamin D3 1000IU Capsules 10x10,Venrick Laboratories,Pharma,Capsules,Below 25C,120,48.3,39.8,28.5,0.05479,7.81,23.66,6,3
PH10272,Amoxicillin 500mg Capsules 10x10,Solandra Health,Pharma,Capsules,Below 25C,120,45.4,39.0,17.8,0.03152,4.7,20.09,6,6
PH10273,Amoxicillin 250mg Capsules 30s,Corvane Pharma,Pharma,Capsules,Below 25C,100,38.1,33.0,20.7,0.02603,4.69,12.02,9,5
PH10274,Amoxicillin 250mg Capsules 2x14,Solandra Health,Pharma,Capsules,Below 25C,200,49.1,31.8,25.5,0.03982,8.91,24.28,6,5
PH10275,Gabapentin 300mg Capsules 30s,Marwick Pharmaceuticals,Pharma,Capsules,Below 25C,60,34.6,37.6,18.7,0.02433,6.22,19.05,6,3
PH10276,Doxycycline 100mg Capsules 3x10,Corvane Pharma,Pharma,Capsules,Below 25C,100,53.7,29.2,25.5,0.03999,8.48,27.32,6,5
PH10277,Tamsulosin 400mcg Capsules 30s,Corvane Pharma,Pharma,Capsules,Below 25C,120,41.8,33.4,29.3,0.04091,9.54,13.24,6,5
PH10278,Itraconazole 100mg Capsules 10x10,Marwick Pharmaceuticals,Pharma,Capsules,Below 25C,200,51.7,39.5,20.8,0.04248,9.07,8.58,3,4
PH10279,Amoxicillin 500mg Capsules 3x10,Marwick Pharmaceuticals,Pharma,Capsules,Below 25C,60,52.3,35.1,21.6,0.03965,8.99,6.15,4,4
PH10280,Tamsulosin 400mcg Capsules 60s,Venrick Laboratories,Pharma,Capsules,Below 25C,100,39.8,37.1,17.1,0.02525,6.15,3.88,6,4
PH10281,Gabapentin 300mg Capsules 60s,Corvane Pharma,Pharma,Capsules,Below 25C,60,50.7,28.9,17.6,0.02579,5.91,27.93,6,3
PH10282,Omeprazole 40mg Capsules 3x10,Corvane Pharma,Pharma,Capsules,Below 25C,120,39.7,26.6,19.4,0.02049,5.09,15.97,9,4
PH10283,Iron Folic 150mg Capsules 10x10,Corvane Pharma,Pharma,Capsules,Below 25C,120,36.6,31.8,25.0,0.0291,7.2,17.2,8,4
PH10284,Iron Folic 150mg Capsules 60s,Venrick Laboratories,Pharma,Capsules,Below 25C,60,42.2,32.7,20.2,0.02787,4.95,11.45,6,5
PH10285,Pregabalin 75mg Capsules 2x14,Venrick Laboratories,Pharma,Capsules,Below 25C,120,34.5,35.3,15.4,0.01875,3.35,15.31,6,4
PH10286,Itraconazole 100mg Capsules 30s,Corvane Pharma,Pharma,Capsules,Below 25C,100,38.5,29.0,24.7,0.02758,5.28,25.75,9,5
PH10287,Gabapentin 300mg Capsules 2x14,Venrick Laboratories,Pharma,Capsules,Below 25C,200,53.7,36.1,20.3,0.03935,8.51,6.37,2,5
PH10288,Fluoxetine 20mg Capsules 3x10,Corvane Pharma,Pharma,Capsules,Below 25C,100,42.2,31.2,19.2,0.02528,3.85,3.59,6,6
PH10289,Omeprazole 40mg Capsules 60s,Marwick Pharmaceuticals,Pharma,Capsules,Below 25C,100,32.8,39.6,17.6,0.02286,5.97,10.12,7,6
PH10290,Cefalexin 250mg Capsules 10x10,Corvane Pharma,Pharma,Capsules,Below 25C,100,53.9,31.6,25.0,0.04258,7.14,9.4,4,4
PH10291,Omeprazole 40mg Capsules 30s,Marwick Pharmaceuticals,Pharma,Capsules,Below 25C,60,43.7,33.5,25.5,0.03733,5.81,28.49,6,2
PH10292,Iron Folic 150mg Capsules 3x10,Marwick Pharmaceuticals,Pharma,Capsules,Below 25C,120,49.0,33.6,16.7,0.02749,7.62,14.25,6,6
PH10293,Itraconazole 100mg Capsules 3x10,Corvane Pharma,Pharma,Capsules,Below 25C,200,46.4,26.7,21.4,0.02651,5.33,22.13,8,5
PH10294,Pregabalin 150mg Capsules 10x10,Corvane Pharma,Pharma,Capsules,Below 25C,200,32.2,28.8,16.9,0.01567,3.61,15.5,12,5
PH10295,Tamsulosin 400mcg Capsules 2x14,Venrick Laboratories,Pharma,Capsules,Below 25C,200,44.5,34.2,20.0,0.03044,7.63,21.96,6,5
PH10296,Vitamin D3 1000IU Capsules 3x10,Venrick Laboratories,Pharma,Capsules,Below 25C,200,42.7,37.5,25.2,0.04035,7.89,20.73,5,2
PH10297,Amoxicillin 500mg Capsules 30s,Corvane Pharma,Pharma,Capsules,Below 25C,60,31.8,32.6,23.1,0.02395,3.62,3.28,9,5
PH10298,Tamsulosin 400mcg Capsules 10x10,Venrick Laboratories,Pharma,Capsules,Below 25C,120,53.3,35.7,23.3,0.04434,10.46,19.1,4,3
PH10299,Iron Folic 150mg Capsules 30s,Corvane Pharma,Pharma,Capsules,Below 25C,100,37.5,29.4,22.3,0.02459,6.56,18.9,9,4
PH10300,Iron Folic 150mg Capsules 2x14,Corvane Pharma,Pharma,Capsules,Below 25C,200,35.3,25.1,23.2,0.02056,4.79,6.32,9,3
PH10301,Doxycycline 100mg Capsules 2x14,Venrick Laboratories,Pharma,Capsules,Below 25C,100,45.0,36.2,15.5,0.02525,4.6,7.23,6,7
PH10302,Fish Oil Omega-3 1000mg Capsules 3x10,Corvane Pharma,Pharma,Capsules,Below 25C,100,53.9,31.1,17.9,0.03001,7.68,8.0,6,3
PH10303,Omeprazole 40mg Capsules 2x14,Venrick Laboratories,Pharma,Capsules,Below 25C,100,46.8,38.7,20.8,0.03767,7.31,21.44,6,6
PH10304,Omeprazole 20mg Capsules 30s,Venrick Laboratories,Pharma,Capsules,Below 25C,60,42.1,37.7,26.2,0.04158,0.0,14.73,6,2
PH10305,Pregabalin 75mg Capsules 60s,Solandra Health,Pharma,Capsules,Below 25C,60,41.7,29.6,17.6,0.02172,3.37,13.79,8,7
PH10306,Omeprazole 40mg Capsules 10x10,Corvane Pharma,Pharma,Capsules,Below 25C,60,42.7,29.6,26.2,0.3311,6.62,15.0,8,4
PH10307,Vitamin D3 1000IU Capsules 2x14,Corvane Pharma,Pharma,Capsules,Below 25C,200,42.7,29.5,21.2,0.0267,6.15,29.35,8,4
PH10308,Pregabalin 75mg Capsules 10x10,Marwick Pharmaceuticals,Pharma,Capsules,Below 25C,100,42.3,32.3,19.2,0.02623,4.4,15.57,6,3
PH10309,Fluoxetine 20mg Capsules 2x14,Venrick Laboratories,Pharma,Capsules,Below 25C,60,53.6,35.6,24.2,0.04618,8.74,7.05,2,4
PH10310,Amoxicillin 500mg Capsules 60s,Venrick Laboratories,Pharma,Capsules,Below 25C,120,40.2,32.3,25.8,0.0335,7.51,16.24,6,5
PH10311,Gabapentin 300mg Capsules 3x10,Venrick Laboratories,Pharma,Capsules,Below 25C,120,40.3,34.3,21.7,0.03,6.87,10.55,6,5
PH10312,Amoxicillin 250mg Capsules 3x10,Corvane Pharma,Pharma,Capsules,Below 25C,120,38.3,26.8,24.2,0.02484,6.78,12.38,9,3
PH10313,Cefalexin 250mg Capsules 30s,Venrick Laboratories,Pharma,Capsules,Below 25C,100,36.4,29.2,24.6,0.02615,7.14,11.75,7,5
PH10314,Fish Oil Omega-3 1000mg Capsules 30s,Corvane Pharma,Pharma,Capsules,Below 25C,100,31.9,34.0,28.8,0.03124,4.45,27.11,8,3
PH10315,Cefalexin 250mg Capsules 60s,Venrick Laboratories,Pharma,Capsules,Below 25C,200,43.4,36.3,29.9,0.04711,7.13,11.49,6,5
PH10316,Doxycycline 100mg Capsules 30s,Venrick Laboratories,Pharma,Capsules,Below 25C,100,30.9,37.7,26.3,0.03064,6.96,16.08,9,2
PH10317,Omeprazole 20mg Capsules 60s,Corvane Pharma,Pharma,Capsules,Below 25C,200,31.7,39.8,17.8,0.02246,4.33,25.45,9,7
PH10318,Cefalexin 500mg Capsules 10x10,Corvane Pharma,Pharma,Capsules,Below 25C,60,40.5,28.7,22.9,0.02662,7.29,9.08,8,5
PH10319,Cefalexin 500mg Capsules 3x10,Corvane Pharma,Pharma,Capsules,Below 25C,120,50.3,38.8,29.9,0.05835,13.07,17.28,3,3
PH10320,Tamsulosin 400mcg Capsules 3x10,Venrick Laboratories,Pharma,Capsules,Below 25C,60,51.1,26.0,21.8,0.02896,5.44,8.43,6,5
PH10321,Cefalexin 250mg Capsules 2x14,Venrick Laboratories,Pharma,Capsules,Below 25C,120,40.3,27.3,17.5,0.01925,3.07,7.54,8,6
PH10322,Fluoxetine 20mg Capsules 10x10,Marwick Pharmaceuticals,Pharma,Capsules,Below 25C,200,32.3,29.9,23.3,0.0225,5.16,12.55,12,6
PH10323,Amoxicillin 250mg Capsules 60s,Venrick Laboratories,Pharma,Capsules,Below 25C,100,41.1,28.3,25.5,0.02966,7.78,27.11,8,4
PH10324,Omeprazole 20mg Capsules 3x10,Corvane Pharma,Pharma,Capsules,Below 25C,60,48.1,26.3,20.2,0.02555,3.94,9.17,8,5
PH10325,Omeprazole 20mg Capsules 10x10,Venrick Laboratories,Pharma,Capsules,Below 25C,60,41.2,38.0,27.6,0.04321,11.68,9.64,6,4
PH10326,Cefalexin 500mg Capsules 60s,Solandra Health,Pharma,Capsules,Below 25C,100,30.9,29.9,21.6,0.01996,3.03,19.87,12,3
PH10327,Vitamin D3 1000IU Capsules 60s,Venrick Laboratories,Pharma,Capsules,Below 25C,60,40.0,35.5,28.5,0.04047,10.91,28.24,6,2
PH10328,Amoxicillin 250mg Capsules 10x10,Corvane Pharma,Pharma,Capsules,Below 25C,60,46.0,38.3,20.0,0.03524,6.59,15.26,6,3
PH10329,Pregabalin 150mg Capsules 60s,Venrick Laboratories,Pharma,Capsules,Below 25C,120,38.1,28.2,21.6,0.02321,4.31,24.79,9,6
PH10330,Fish Oil Omega-3 1000mg Capsules 60s,Venrick Laboratories,Pharma,Capsules,Below 25C,60,50.8,29.9,27.0,0.04101,8.8,7.66,6,5
PH10331,Cetirizine 5mg/5ml Syrup 200ml,Solandra Health,Pharma,Syrups,Below 25C,36,40.6,24.4,23.4,0.02318,13.92,6.94,8,3
PH10332,Paracetamol 120mg/5ml Syrup 100ml,Solandra Health,Pharma,Syrups,Below 25C,24,34.3,25.5,16.6,0.01452,11.39,3.26,7,7
PH10333,Cough Expectorant Syrup 100ml,Halvora Healthcare,Pharma,Syrups,Below 25C,24,45.0,21.6,19.4,0.01886,14.68,6.47,10,4
PH10334,Multivitamin Syrup 200ml,Halvora Healthcare,Pharma,Syrups,Below 25C,24,40.6,20.4,15.2,0.01259,8.25,8.59,10,7
PH10335,Iron Tonic Syrup 200ml,Solandra Health,Pharma,Syrups,Below 25C,36,33.3,25.7,18.3,0.01566,8.82,4.69,12,7
PH10336,Iron Tonic Syrup 60ml,Solandra Health,Pharma,Syrups,Below 25C,48,40.9,22.5,20.9,0.01923,15.14,5.3,8,6
PH10337,Zinc Sulfate Syrup 100ml,Solandra Health,Pharma,Syrups,Below 25C,60,35.1,28.2,0.0,0.01811,12.1,9.2,7,8
PH10338,Paracetamol 120mg/5ml Syrup 60ml,Halvora Healthcare,Pharma,Syrups,Below 25C,60,30.8,30.3,16.8,0.01568,11.82,3.6,8,0
PH10339,Amoxicillin 125mg/5ml Dry Syrup 60ml,Halvora Healthcare,Pharma,Syrups,Below 25C,24,42.6,21.4,15.1,0.01377,8.79,4.4,10,7
PH10340,Loratadine 5mg/5ml Syrup 200ml,Halvora Healthcare,Pharma,Syrups,Below 25C,60,41.2,29.9,15.9,0.01959,15.04,6.84,6,9
